personID,"albums_album","albums_artist","albums_id"
3,"Heathers: The Musical (World Premiere Cast Recording)","Various Artists","1aIXRUYjG6ORo2vGnrAk0F"
3,"Landmark","Hippo Campus","0vb1g018puu47StlIi9wxC"
3,"My Beautiful Dark Twisted Fantasy","Kanye West","20r762YmB5HeofjMCiPMLv"
3,"Cleopatra","The Lumineers","2zbTrm2pIAErzFSopinkbN"
3,"Hamilton","Lin-Manuel Miranda","1kCHru7uhxBUdzkm4gzRQc"
3,"Perfect Symphony (Ed Sheeran & Andrea Bocelli)","Ed Sheeran","2MOs2gBy14kW9jYXbv2A3O"
3,"BADLANDS","Halsey","5OZJflQcQCdZLQjtUudCin"
3,"In Tongues","Joji","3dtSst4EXjGeZVQ5Sco315"
3,"Coexist","The xx","2cRMVS71c49Pf5SnIlJX3U"
3,"evermore","Taylor Swift","6AORtDjduMM3bupSWzbTSG"
3,"I Don't Want to Talk","Wallows","29l8Ddx32NKjtpeZic3U1I"
3,"deadroses","blackbear","1TkwzY3l4LqAfrQwBAx45Q"
3,"Suncity","Khalid","4UNwL1B7JoymNUiTFJa52B"
3,"Freudian","Daniel Caesar","3xybjP7r2VsWzwvDQipdM0"
3,"Leave The Door Open","Bruno Mars","7dfPqXck6BB9wpThrVYBss"
3,"CHROMAKOPIA","Tyler, The Creator","0U28P0QVB1QRxpqp5IHOlH"
3,"I'm Gonna Be (500 Miles)","Sleeping At Last","0b8KcBvQVOYGRQWGaWzyS0"
3,"I Know I'm Funny haha","Faye Webster","454yeYs9PxTEwGmZf6OBpa"
3,"Not About Angels","Birdy","7DRvJhjucsH34zMXtEh0ER"
3,"Solar Power","Lorde","1lDMJQcBCttCroFPkNHtN7"
3,"Ultralife","Oh Wonder","2P63KJNeC3DwaLpw8KHYqE"
3,"Beatopia","beabadoobee","2rhNQbqRNxiNQkDXTffe1V"
3,"Benz","Samsonyte","0dPnUsnfCTOONXhR8yUYTW"
3,"The Last Five Years","Anna Kendrick","4vH73QaXGo63byESFxcPU9"
3,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","0S0KGZnfBGSIssfF54WSJh"
3,"From Michigan With Love","Quinn XCII","7zGPSFi3LOIC1L5Dj0oEBx"
3,"Pure Heroine","Lorde","0rmhjUgoVa17LZuS8xWQ3v"
3,"The Lost Sessions","Alice Kristiansen","2UXiBSSgHrLXxtAsUTrHLq"
3,"Paramore","Paramore","4sgYpkIASM1jVlNC8Wp9oF"
3,"Love Me / Love Me Not","HONNE","0fwZXPXf41aF6H0CN3UtXV"
3,"Memoir of a Sparklemuffin","Suki Waterhouse","5PflJDKGFMTBj49PF4KlOX"
3,"OK","Wallows","6AMTezrkvSp7i1PqL0Mb7F"
3,"After Laughter","Paramore","1c9Sx7XdXuMptGyfCB6hHs"
3,"In Tongues (Deluxe)","Joji","6ZksrxRWlJ7ExylPyJwfLJ"
3,"LANY","LANY","0HiwsXForePsWdIZW6EEkK"
3,"Blush","Kevin Abstract","1aUFNUsjLeUwhJZjBZpoKa"
3,"The Greatest Hits 1970-2002","Elton John","6nvd1pwRgLrMez7fIiDq8z"
3,"Immunity","Clairo","4kkVGtCqE2NiAKosri9Rnd"
3,"good 4 u","Olivia Rodrigo","3rMjL8NA5Wh2hbMNk2fSlY"
3,"star-crossed","Kacey Musgraves","6y9LbrjY2TpaLvtbE7FTkc"
3,"A Fever You Can't Sweat Out","Panic! At The Disco","2YeOhhJg3OWpN0F1VYPxtW"
3,"Tell Me That It’s Over","Wallows","5L6fAzbz2x5oF8l0qluSKm"
3,"With Ur Love (feat. Juicy J)","Cher Lloyd","3wacCyemBQ2CPMnlAczuDS"
3,"Harry Styles","Harry Styles","1FZKIm3JVDCxTchXDo5jOV"
3,"La La Land","Justin Hurwitz","3GU8BzFEAdFSRjc8jZkL3S"
3,"I Wish (feat. T.I.)","Cher Lloyd","3grjdvBts7h4qNWvVS6kI3"
3,"Tell Me You Love Me","Demi Lovato","233yswCIc7oCFpZ2M9t0wa"
3,"Bloom","Troye Sivan","1OyADPvYTlmT5hV0mtxLAY"
3,"SOUR","Olivia Rodrigo","6s84u2TUpR3wdUv4NgKA2j"
3,"Come a Little Closer","Cage The Elephant","5l5dVM9m11ZrxiGMXcGkRK"
3,"Glory Sound Prep","Jon Bellion","59YYObx9wFEFG5zVdlfwvf"
3,"beerbongs & bentleys","Post Malone","6trNtQUgC8cgbWcqoMYkOR"
3,"1950","King Princess","5p0UaZsYWMn4L1dSpc6AhN"
3,"Acid Rap","Chance the Rapper","2VBcztE58pBKjIDS5oEgFh"
3,"Telepath","Conan Gray","6npBFQje5ZenFSLErcNflE"
