personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
8,2025-06-20 17:54:00,Ready Player One,Chapter 32,Ernest Cline,1306802
8,2025-06-20 18:28:00,Ready Player One,Chapter 33,Ernest Cline,1906780
8,2025-06-22 13:18:00,Ready Player One,Chapter 33,Ernest Cline,379372
8,2025-06-22 13:40:00,Ready Player One,Chapter 34,Ernest Cline,1316546
8,2025-06-22 13:45:00,Ready Player One,Chapter 35,Ernest Cline,278690
8,2025-06-23 12:33:00,Ready Player One,Chapter 35,Ernest Cline,8470
8,2025-06-29 13:22:00,Ready Player One,Chapter 35,Ernest Cline,1131116
8,2025-06-29 13:40:00,Ready Player One,Chapter 36,Ernest Cline,1068696
8,2025-06-29 14:04:00,Ready Player One,Chapter 37,Ernest Cline,1389460
8,2025-06-29 14:06:00,Ready Player One,Chapter 37,Ernest Cline,85796
8,2025-06-29 14:29:00,Ready Player One,Chapter 38,Ernest Cline,1357245
8,2025-06-29 14:39:00,Ready Player One,Ending Credits,Ernest Cline,34639
8,2025-06-29 14:39:00,Ready Player One,Chapter 39,Ernest Cline,576601
8,2025-06-30 22:34:00,Ready Player Two,Opening Credits,Ernest Cline,11346
8,2025-06-30 22:55:00,Ready Player Two,Cutscene,Ernest Cline,1258360
8,2025-06-30 23:13:00,Ready Player Two,Chapter 0,Ernest Cline,1065180
8,2025-07-05 13:43:00,Ready Player Two,Chapter 0,Ernest Cline,622017
8,2025-07-05 14:23:00,Ready Player Two,Chapter 1,Ernest Cline,2405560
8,2025-07-05 14:56:00,Ready Player Two,Chapter 2,Ernest Cline,1963146
8,2025-07-05 15:26:00,Ready Player Two,Chapter 3,Ernest Cline,1786800
8,2025-07-07 23:00:00,Ready Player Two,Chapter 3,Ernest Cline,264899
8,2025-07-07 23:31:00,Ready Player Two,Chapter 4,Ernest Cline,1833986
8,2025-07-07 23:49:00,Ready Player Two,Chapter 5,Ernest Cline,1119705
8,2025-07-07 23:52:00,Ready Player Two,Chapter 6,Ernest Cline,114300
8,2025-07-08 23:45:00,Ready Player Two,Chapter 6,Ernest Cline,1141989
8,2025-07-09 00:02:00,Ready Player Two,Chapter 7,Ernest Cline,1010502
8,2025-07-09 00:22:00,Ready Player Two,Chapter 9,Ernest Cline,7420
8,2025-07-09 00:22:00,Ready Player Two,Chapter 8,Ernest Cline,1206672
8,2025-07-09 00:27:00,Ready Player Two,Chapter 8,Ernest Cline,1720
8,2025-07-09 21:09:00,Ready Player Two,Chapter 8,Ernest Cline,58736
