danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,duration_ms,time_signature
0.881,0.592,2,-4.898,1,0.0324,0.619,1.3200000000000002e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,154487,4.0
0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,1HNkqx9Ahdgi1Ixy2xkKkL,258987,4.0
0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,63y6xWR4gXz7bnUGOk8iI6,244453,4.0
0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3.0
0.72,0.481,8,-6.516,0,0.0432,0.136,0.0034,0.301,0.253,126.005,3WowsoNoWeMqTH2suWv9MW,191880,4.0
0.5650000000000001,0.333,7,-11.613,1,0.107,0.68,0.00109,0.111,0.301,85.786,6rG1DdPCTzGibgHliYJ4ws,180678,4.0
0.518,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.854,5WtfUKzXircvW8l5aaVZWT,173307,4.0
0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,5iFwAOB2TFkPJk8sMlxP8g,232907,4.0
0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,3JjnGLK8IxkNLvo8Lb3KOM,248360,4.0
0.673,0.497,4,-6.54,1,0.0417,0.358,8.52e-06,0.433,0.476,101.905,1TgCchWmdmmhGrtsa8NHwY,179120,4.0
0.74,0.6970000000000001,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,6dgUya35uo964z7GZXM07g,163648,4.0
0.819,0.652,2,-8.466,1,0.0515,0.124,0.000752,0.527,0.967,126.01,5IE5WW79oRVkwPyqM7Vgio,177420,4.0
0.664,0.669,1,-5.83,1,0.0313,0.0487,0.0,0.207,0.555,115.91,583Fc6qU9thMdXu64j1Wus,190326,4.0
0.75,0.548,2,-7.704,1,0.0492,0.111,0.0,0.0633,0.497,101.031,7dbnw3cDgeDxOxJJ7QiAiD,166061,4.0
0.473,0.518,1,-8.1,1,0.0405,0.553,1.26e-06,0.111,0.18,96.129,3odrUVQ9tvRpkC9II2oWzx,240867,4.0
0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,7EkWXAI1wn8Ii883ecd9xr,147062,4.0
0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,198040,3.0
0.53,0.592,5,-7.281,1,0.0534,0.381,0.0,0.294,0.544,125.721,3TFoEJe5zNuHZStRboWPxg,158537,4.0
0.777,0.527,5,-7.195,1,0.0291,0.126,1.19e-05,0.09,0.753,105.017,2y0zJlae50VyzO7NCrQe06,159755,4.0
0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,7mykoq6R3BArsSpNDjFQTm,246653,4.0
0.596,0.651,9,-4.604,1,0.0331,0.0971,0.0,0.279,0.255,73.959,0gWrMbx6pbdH3n3nsLjE55,147819,4.0
0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,5FVbvttjEvQ8r2BgUcJgNg,207481,4.0
0.614,0.45,1,-10.22,1,0.0445,0.645,3.55e-05,0.118,0.213,84.999,5MmakIIxhu6hwT9gcbVi8v,150837,4.0
0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,6vFsBXYczYsP0H3lgunZOm,147351,4.0
0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,1170VohRSx6GwE6QDCHPPH,282206,4.0
0.6960000000000001,0.559,7,-9.19,1,0.0693,0.0618,5.580000000000001e-05,0.0887,0.433,163.999,3qoftcUZaUOncvIYjFSPdE,194166,4.0
0.598,0.662,4,-5.797,1,0.048,0.00301,0.000167,0.0812,0.531,174.937,213zYbLMb3NjOfNl0LFTQr,141207,4.0
0.536,0.859,2,-4.348,1,0.0683,0.00132,0.0,0.405,0.793,87.475,0R8clsMFyCYRN7iYRKTiuE,179853,4.0
0.616,0.899,6,-6.569,0,0.0366,0.000126,0.0011,0.249,0.735,107.99,6GbIHLdRMNqI9tayaJaku0,186256,4.0
0.724,0.675,0,-6.487,1,0.148,0.11,0.000232,0.0852,0.544,94.027,5RqwjQWDwxQ3HTkOfXTrS6,218240,4.0
0.487,0.504,2,-8.878,1,0.0624,0.644,0.0,0.27,0.478,83.911,59ZEgmLmXD7e7UZwlI78fP,164474,4.0
0.61,0.483,5,-11.641,1,0.0754,0.0555,0.0,0.15,0.234,130.035,0zKH50jSEILX4zwuHrRQbs,170947,4.0
0.686,0.436,0,-7.936,1,0.181,0.697,0.0,0.193,0.432,81.963,49jLgPPsz0o5TXJVoF15mC,189695,4.0
0.6880000000000001,0.592,1,-8.759,1,0.0347,0.352,3.31e-06,0.11,0.394,149.998,1qRabaD5y56JZzQSm4qB0n,193600,4.0
0.436,0.332,9,-10.661,1,0.165,0.416,1.09e-06,0.115,0.148,88.059,01eGJhqBLJCy8i4YHVQo4P,274051,4.0
0.678,0.716,10,-4.4030000000000005,1,0.0342,0.196,0.0,0.102,0.627,109.981,1w9L6dvttZalWd8XqFYvSa,135000,4.0
0.807,0.539,11,-8.193,1,0.124,0.0789,0.0,0.0928,0.755,127.992,4PyMK7JTcu6l30D8KogokR,206600,4.0
0.891,0.627,4,-8.458,1,0.0566,0.435,0.0,0.266,0.922,136.024,1SdItcSOTD14tvIo8UzA6k,200293,4.0
0.751,0.793,1,-5.957,1,0.0497,0.0397,1.4e-06,0.6970000000000001,0.765,99.018,62icJBGjpDWlAHWOyl4gfO,169067,4.0
0.754,0.686,7,-3.966,1,0.049,0.314,0.0,0.149,0.49,140.071,3bA30uvYoSwHYFW4IOO2O4,193747,4.0
0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97,126267,4.0
0.6920000000000001,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,2QpN1ZVw8eJO5f7WcvUA1k,144013,4.0
0.512,0.831,2,-9.004,1,0.0383,0.552,0.0,0.336,0.963,148.82,0oPdaY4dXtc3ZsaG17V972,182067,4.0
0.388,0.145,9,-19.697,0,0.0318,0.978,6.86e-06,0.0997,0.0911,75.474,299lFlaAsNQdgbIZNPmIA0,166387,3.0
0.595,0.275,8,-9.815,0,0.0309,0.864,0.0,0.107,0.345,85.752,0liLSjkegSKSdYPUidia7y,143596,4.0
0.553,0.458,6,-7.259,1,0.0287,0.556,3.92e-06,0.931,0.422,98.89,5tiRT24jJjOA5oaCxuSxTE,160984,4.0
0.746,0.598,10,-6.053,1,0.0973,0.131,0.0,0.678,0.789,148.91,0gWKtvF3IGZKZprlDEKZKo,124241,4.0
0.579,0.405,7,-12.809,1,0.872,0.679,0.0,0.948,0.167,137.048,5xYhLsWe8BRHsJWszSnI66,304968,1.0
0.779,0.5,1,-9.785,1,0.0468,0.5710000000000001,0.0,0.718,0.717,109.906,04mhhxg9fNzKSY1yNWr5FZ,183944,4.0
0.807,0.473,8,-11.383,1,0.047,0.68,0.0,0.179,0.963,113.237,4EjOn21ToBHzjVnd6rqSyr,150747,4.0
0.771,0.158,6,-10.374,0,0.0621,0.895,0.0,0.144,0.504,130.094,4xXMJbzVQSCyprr4PG5sBj,151333,4.0
0.583,0.191,5,-15.938,1,0.0404,0.908,0.00824,0.126,0.342,123.303,4YhY2qHdBmSX33uj8ms0oq,309387,4.0
0.327,0.299,5,-13.765,0,0.0294,0.927,0.952,0.127,0.465,85.241,1KYp6R9KfYSna86gFkIhq0,144933,4.0
0.5640000000000001,0.237,5,-18.762,1,0.0499,0.8230000000000001,0.000477,0.0905,0.625,137.613,2UZ8JJZjOBXBCNpYg6ZFYm,192293,4.0
0.496,0.388,8,-14.177,1,0.0382,0.787,0.939,0.167,0.6940000000000001,81.772,5N96qwzTDhbf2y6FWAVz4c,185453,4.0
0.419,0.116,5,-18.397,1,0.0331,0.966,0.648,0.138,0.0865,74.634,3Y9tu0vssINKFcA90JiLHb,366213,3.0
0.388,0.145,9,-19.697,0,0.0318,0.978,6.86e-06,0.0997,0.0911,75.474,06Pfxmp9TtC2H00apclouT,166387,3.0
0.488,0.297,0,-17.101,1,0.0321,0.75,0.535,0.129,0.552,65.04,4Gu4Z1RQ68h8fQnSDQxfKr,145640,4.0
0.246,0.0426,5,-18.892,1,0.0494,0.99,0.0007819999999999,0.155,0.0972,88.277,3WneO6zhskTAI00NpB11Nf,114867,3.0
0.39,0.346,5,-14.285,1,0.037,0.786,0.0124,0.096,0.797,82.582,69hH2X1SjculOZEOahrWQQ,205320,4.0
0.43,0.0826,9,-28.136,0,0.052,0.995,0.866,0.0966,0.29,130.393,1vH8OmOhfr5Gw6En3wXTh5,65920,4.0
0.415,0.154,10,-16.553,1,0.0381,0.993,0.932,0.103,0.187,60.266,0Wj4AUqKMJ2k4NHhRUoWei,196933,4.0
0.273,0.328,5,-15.38,0,0.0315,0.931,0.914,0.212,0.5,179.866,2H9zsdAjaue3tkg4d27jRm,329000,3.0
0.339,0.243,0,-16.851,0,0.0382,0.988,0.893,0.113,0.48,151.481,7lniXNKQilhilPfXDGmVOW,149227,3.0
0.547,0.399,0,-10.577,1,0.0265,0.981,0.96,0.344,0.33,96.596,0baCR9QLEoMBMDvprSrGQO,120347,1.0
0.856,0.656,5,-6.475,1,0.0752,0.484,0.0,0.559,0.949,133.927,3xyr2xfbSZiZWWGsjLyMFh,134782,4.0
0.796,0.727,1,-4.726,1,0.04,0.793,2.49e-05,0.0858,0.818,104.98,5MG69A9XyXDbBbeOxdR3Tl,123950,4.0
0.8170000000000001,0.635,5,-7.246,1,0.163,0.323,0.0,0.0738,0.454,138.015,04F42oEuKrRComYJfJuyVR,129241,4.0
0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,1xSmjB0t19q4CSJ0X0ymGB,202249,4.0
0.6900000000000001,0.55,8,-6.633,1,0.173,0.182,0.0,0.509,0.385,180.007,1aBCdCoHR7AwWQbiWEHdzA,212217,4.0
0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,0NuWgxEp51CutD2pJoF4OM,153293,4.0
0.839,0.525,2,-4.873,1,0.131,0.0303,0.0,0.302,0.831,135.996,5nsMKSAJwcr1pA9I6PW429,133897,4.0
0.672,0.628,3,-7.744,1,0.0516,0.0302,7.14e-05,0.076,0.651,144.045,5HydZtPFOvbmqXiTcTFykW,175030,4.0
0.682,0.529,4,-9.862,1,0.0469,0.782,0.000294,0.102,0.39,126.995,14ahZtLV5yKtqQATTfQta0,155272,4.0
0.686,0.682,6,-7.656,0,0.0459,0.0443,0.0131,0.43,0.854,84.985,0T7aTl1t15HKHfwep4nANV,192000,4.0
0.778,0.313,4,-9.288,1,0.421,0.301,0.0,0.667,0.707,68.936,2b2LUjMx9LKwIARJf93Rbd,174520,4.0
0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,75ls0gurX68lUmMjE7QcsE,169973,4.0
0.701,0.598,2,-7.067,1,0.209,0.587,3.59e-06,0.112,0.382,85.018,5XkqFA48j4kARMAXQuyfHT,181852,4.0
0.614,0.54,0,-8.709,1,0.436,0.476,0.0,0.318,0.578,172.662,248fjiJS7DJXcakCqWOWiX,163960,4.0
0.682,0.74,4,-4.848,1,0.114,0.125,1.46e-05,0.523,0.73,165.025,3Nsxlv9JESIFfOBbupIKOc,181249,4.0
0.627,0.565,3,-6.922,1,0.122,0.537,0.0,0.214,0.514,131.083,19YOJKCVvOL7v6B2Oe3UBc,142830,3.0
0.361,0.338,11,-9.878,1,0.0816,0.444,2.59e-05,0.362,0.108,152.434,4GISsjjHTA2UyM9DY4DNgY,202736,4.0
0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,4CxFN5zON70B3VOPBYbd6P,219147,4.0
0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,18uwL0vNUanqZH0ro2QcOP,181613,4.0
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280,4.0
0.644,0.442,1,-9.423,1,0.123,0.8290000000000001,0.0,0.135,0.5740000000000001,142.026,2SaMMF3gwdwTjWuR44LETg,153803,4.0
0.746,0.559,5,-4.008,1,0.0316,0.703,0.0,0.148,0.368,117.943,1ckLp8lCl8LipXI0ypX72m,200680,4.0
0.414,0.663,6,-7.77,1,0.0456,0.163,0.0,0.138,0.33,108.98,7nDFTHHwfe32a8qdp9XqPy,223400,4.0
0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,75ZvA4QfFiZvzhj2xkaWAh,223347,4.0
0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,6Hj9jySrnFppAI0sEMCZpJ,240051,5.0
0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013,4.0
0.583,0.075,5,-15.843,1,0.0726,0.933,1.4e-06,0.111,0.347,108.418,6r2JV75tE0vNgNCv4HKsBC,207520,4.0
0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,0j1Ia2lQWrcXrQZI4AdJlk,184638,1.0
0.667,0.422,4,-12.407,1,0.0414,0.726,2.91e-06,0.737,0.282,95.83,4t1zWwxBWH2xqpQgR6KTcq,135004,4.0
0.553,0.507,11,-6.24,1,0.0304,0.473,0.0,0.108,0.57,83.093,1T7AiFL9ruKKwlONN35Vh0,187027,4.0
0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,2TOzTqQXNmR2zDJXihjZ2e,202827,4.0
0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,5CZ40GBx1sQ9agT82CLQCT,229227,4.0
0.622,0.467,2,-9.889,0,0.568,0.872,2.15e-06,0.0931,0.716,87.967,33LizV83s7z1gwtmLiKlmv,89625,5.0
0.464,0.331,0,-6.336,1,0.0294,0.794,0.0,0.11,0.513,77.307,3fajzhEHSdlSmY31dORz9M,208293,4.0
0.6920000000000001,0.107,2,-16.182,1,0.0463,0.967,0.0,0.302,0.377,123.999,3pt2acuxLXvIGproniPoq9,196277,4.0
0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,4wcBRRpIfesgcyUtis7PEg,163587,4.0
0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,4RL77hMWUq35NYnPLXBpih,201080,4.0
0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,1zwMYTA5nlNjZxYrvBB2pV,285240,4.0
0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,5JCoSi02qi3jJeHdZXMmR8,152667,4.0
0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,2tGvwE8GcFKwNdAXMnlbfl,175933,3.0
0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190,4.0
0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,7F5oktn5YOsR9eR5YsFtqb,235467,4.0
0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,4sx6NRwL6Ol3V6m9exwGlQ,145850,4.0
0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,1KMkcUvF7m3SDChDOa7i5L,161385,4.0
