personID,"inferences"
1,"9c203e46-706d-4038-9e7a-0dd64141f024"
1,"e613a618-af6d-42ee-aff1-057aa597219c"
1,"interest_movies_comedy-movies"
1,"84d14ad2-7f75-4243-90f6-5da875bbf843"
1,"interest_academic-interests_arts-and-humanities"
1,"04be37ce-473b-4c6d-bbee-e7ef2e123b63"
1,"2f2b2dac-f3cb-4aad-8c7e-fa660f1a1bfd"
1,"0443b7a8-1f9c-4497-ae2e-fe74742c2b19"
1,"32ad8ae6-d726-41ef-828d-0c01e5cc8ec0"
1,"interest_food-and-drink"
1,"interest_movies"
1,"d4321a36-fbee-4f13-97d9-83ae1a4d4d8a"
1,"9144d4e8-0d1e-4129-9ee8-08afe2656fd4"
1,"ca92cb01-a8c9-4541-8cf9-bb3b94bd6212"
1,"b61aeb55-c4df-46e1-9ea4-c0f2a86ca589"
1,"ee472d3f-d24f-4201-9a15-6757c607570f"
1,"f3d6114c-73d9-499b-8827-9ff0fb5d351d"
1,"03ded614-6485-44c7-9a41-a531117f69e8"
1,"interest_academic-interests"
1,"e8d54fd4-7b45-4874-9432-a68ac2141f34"
1,"1P_Custom_Canadian_Artist_Listeners"
1,"interest_hobbies-and-interests"
1,"54880ba1-40b4-41f5-970e-cf80a8978034"
1,"interest_books-and-literature"
1,"d8e51d8e-6f9b-4ee1-a521-1d3a053190c4"
1,"a1c56d9b-8e65-4591-962c-dcd8b5153edf"
1,"6cd0724c-bc49-4303-ad5a-4907cea1929e"
1,"interest_video-gaming"
1,"105afef0-903a-43b7-9c50-7ede3810e23f"
1,"75a7b313-7068-43d7-8fb3-8dc79c160207"
1,"8b051ec3-55e1-4935-8bdf-8346d5ba4866"
1,"e95f32b4-b68b-4a05-83a0-fe7bc2cf88ce"
1,"1025da9a-c31d-4a3b-843d-2ec14a1f2ec6"
10,"00b8f7ad-d91b-4ff5-acbb-b1d5bbdc0104"
10,"017e1c18-e640-48e2-b4de-3fc7861f316f"
10,"0329338c-15cc-4838-a476-101c2617621f"
10,"03ded614-6485-44c7-9a41-a531117f69e8"
10,"0443b7a8-1f9c-4497-ae2e-fe74742c2b19"
10,"0688251c-aea5-4c7a-8ecc-3ea46eac32b2"
10,"0e65aa7c-05b4-4b56-85eb-4da4aab470f9"
10,"1025da9a-c31d-4a3b-843d-2ec14a1f2ec6"
10,"105afef0-903a-43b7-9c50-7ede3810e23f"
10,"15c72004-05bf-4fd8-8250-ab312f09c14d"
10,"15f04a99-9df8-40c4-b44c-4c4c7337ecd5"
10,"1626ff8a-1b58-4241-bfe7-ef0f005ec67c"
10,"16551913-ccce-46f4-92fa-b629b254356a"
10,"17cd9706-3f29-4c5e-97b9-fe2c37ce74fe"
10,"1P_Custom_2024_Wrapped_Engagers"
10,"1P_Custom_Algorithmic_Playlist_Listeners"
10,"1P_Custom_Apple_Airpods_Streamers [Advertiser-Restricted]"
10,"1P_Custom_Apple_Loyalists [Advertiser-Restricted]"
10,"1P_Custom_Apple_iPad_Streamers [Advertiser-Restricted]"
10,"1P_Custom_Auto_Honda [Advertiser-Specific]"
10,"1P_Custom_Auto_Standard_Car_Streamers"
10,"1P_Custom_Broadway_Soundtrack_Streamers"
10,"1P_Custom_Canadian_Artist_Listeners"
10,"1P_Custom_Car_Mode_Streamers"
10,"1P_Custom_Confidence_Productivity_Motivation_Listeners"
10,"1P_Custom_Content_Affinity_LatinX"
10,"1P_Custom_Content_Affinity_Pride"
10,"1P_Custom_Daylist_Power_Playlist_Streamers_New"
10,"1P_Custom_English_Language_Content_Listeners"
10,"1P_Custom_Focus_Moment_Listeners"
10,"1P_Custom_Friendship_Playlist_Listeners"
10,"1P_Custom_Hindi_Language_Content_Listeners"
10,"1P_Custom_Holiday_Playlist_Streamers"
10,"1P_Custom_In_Car_Streamers"
10,"1P_Custom_Made_For_You_Power_Playlist_Streamers"
10,"1P_Custom_Music_Festival_Playlist_Listeners"
10,"1P_Custom_Musicals_Playlist_Listeners"
10,"1P_Custom_Romance_Playlist_Listeners"
10,"1P_Custom_Smart_Technology_Streamers"
10,"1P_Custom_Sony_Headphones_Users [Advertiser-Restricted]"
10,"1P_Custom_Students"
10,"1P_Custom_Summer_Moment_Listeners"
10,"1P_Custom_Valorant_Playlist_Listeners"
10,"1P_Custom_Windows_Users [Advertiser-Restricted]"
10,"1P_Custom_Wireless_Headphone_Users"
10,"1P_Custom_Workout_Moment_Listeners"
10,"1P_Custom_Wrapped_Eligible"
10,"1P_Custom_Wrapped_Listeners"
10,"1P_Custom_Wrapped_Power_Playlist_Streamers"
10,"1P_Custom_iOS_Mobile_Streamers [Advertiser-Restricted]"
10,"1abf8bf5-b696-41e0-b439-f3244c2712cf"
10,"1add871f-9961-44e6-a931-f974c8ad9b1f"
10,"1c1d7dd0-8c18-4fe4-a7c8-ffd217d21e37"
10,"2083091a42ba492491edd57bb7922898"
10,"20feb4cc-246d-4f26-bf62-078ff51b3609"
10,"225b8db3-41d2-4855-b557-9f259bc66e48"
10,"2374fa41-f053-4ff0-a1f5-3472d8fb5a88"
10,"238ddd70-916b-42dd-b5e5-281a43801a0d"
10,"244e68a6-a3c7-4b8a-9fe8-c762c1230253"
10,"248d6854-c8ee-46e3-8643-b9dd8f95441c"
10,"25481e24-1bdd-494c-b2c9-bf6fa49d08da"
10,"2701fe59-b580-4496-a09e-942c861cb57b"
10,"2703f585-f259-4228-9bed-128b55392ab3"
10,"2a9cbff5-5dfa-40d1-b05c-d1a7ad3c7db5"
