personID,artistName,segment
1,Brandon,Previously Active Listeners
1,Adam Dannheisser,Light listeners
1,Katie Ladner,Light listeners
1,Carly Jibson,Previously Active Listeners
1,Fiddler on the Roof Ensemble (1967),Previously Active Listeners
1,Renée Elise Goldsberry,Light listeners
1,Chet Baker,Previously Active Listeners
1,Vince Guaraldi Trio,Previously Active Listeners
1,Terry Rossio,Previously Active Listeners
1,Isabelle McCalla,Previously Active Listeners
1,Dua Lipa,Previously Active Listeners
1,Marissa O'Donnell,Light listeners
1,Michael Crawford,Previously Active Listeners
1,lil hero,Moderate listeners
1,Luke Evans,Previously Active Listeners
1,Harvey Fierstein,Previously Active Listeners
1,Anthony Gonzalez,Previously Active Listeners
1,Manuel Herrera,Previously Active Listeners
1,Lea Michele,Light listeners
1,Shoba Narayan,Light listeners
1,Lyn Lapid,Moderate listeners
1,Anonymous (Chansonnier du Roi),Previously Active Listeners
1,Cole Thompson,Light listeners
1,PattyCake,Previously Active Listeners
1,Kate Rockwell,Light listeners
1,cassö,Previously Active Listeners
1,The Oxford Choir,Light listeners
1,'Something Rotten' Ensemble,Previously Active Listeners
1,Stanley Tucci,Previously Active Listeners
1,Summer Walker,Previously Active Listeners
1,Audra McDonald,Previously Active Listeners
1,Casey Lee Williams,Light listeners
1,Josh Franklin,Previously Active Listeners
1,Beach Bunny,Previously Active Listeners
1,Kathy Fitzgerald and Ensemble,Previously Active Listeners
1,Erika Henningsen,Moderate listeners
1,Cry-Baby Original Studio Cast,Previously Active Listeners
1,'The Drowsy Chaperone' Original Broadway Cast,Previously Active Listeners
1,Celtic Woman,Light listeners
1,Willie Jones,Previously Active Listeners
1,Flo Milli,Previously Active Listeners
1,Water for Elephants Company,Previously Active Listeners
1,Daniel Cooney,Light listeners
1,Josie de Guzman,Previously Active Listeners
1,Shygirl,Previously Active Listeners
1,Jodi Benson,Previously Active Listeners
1,Nikki Blonsky,Moderate listeners
1,The Japanese House,Previously Active Listeners
1,Jerry Orbach,Previously Active Listeners
1,Timothy Hughes,Light listeners
1,Megan Hilty and Ensemble,Previously Active Listeners
1,Pentatonix,Previously Active Listeners
1,Kesha,Previously Active Listeners
1,Alan Menken,Previously Active Listeners
1,Miriam Karlin,Previously Active Listeners
1,Nina Simone,Previously Active Listeners
1,The Ride the Cyclone World Premiere Cast Recording Ensemble,Previously Active Listeners
1,Nell Benjamin,Light listeners
1,Caamp,Previously Active Listeners
1,Original Broadway Cast of Shucked,Light listeners
1,PinkPantheress,Light listeners
1,Carole Shelley,Light listeners
1,Eminem,Previously Active Listeners
1,Ella Fitzgerald,Previously Active Listeners
1,Eric Clapton,Previously Active Listeners
1,Zara Larsson,Moderate listeners
1,Amanda Seyfried,Previously Active Listeners
1,Colette Lush,Light listeners
1,Original Broadway Cast of Wonderland,Previously Active Listeners
1,GloRilla,Light listeners
1,Nathan Sykes,Previously Active Listeners
1,'Anything Goes' New Broadway Cast Ensemble,Previously Active Listeners
1,Kate Baldwin,Light listeners
1,Yung Lean,Previously Active Listeners
1,Karl Skyler Urban,Light listeners
1,James Earl Jones,Previously Active Listeners
1,Isabel Snaas,Previously Active Listeners
1,Charlotte Scott,Previously Active Listeners
1,Artie Shaw,Previously Active Listeners
1,Kathy Fitzgerald,Previously Active Listeners
1,Sydney Symphony Orchestra,Previously Active Listeners
1,Hugh Skinner,Previously Active Listeners
1,Annie Golden,Previously Active Listeners
1,Lydia Bannister,Previously Active Listeners
1,Eddie Perfect,Light listeners
1,YOASOBI,Previously Active Listeners
1,Ashley Serena,Previously Active Listeners
1,JoAnn M. Hunter,Previously Active Listeners
1,Tove Ramlo-Ystad,Moderate listeners
1,Creedence Clearwater Revival,Previously Active Listeners
1,Brad Kane,Previously Active Listeners
1,Aliyah's Interlude,Previously Active Listeners
1,Christine Baranski,Previously Active Listeners
1,Katie Rowley Jones,Light listeners
1,Anne-Marie,Previously Active Listeners
1,SIX,Light listeners
1,Kimiko Glenn,Previously Active Listeners
1,LISA,Light listeners
1,Original Broadway Cast of Hadestown,Moderate listeners
1,Grace Chang,Previously Active Listeners
1,Calvin Harris,Previously Active Listeners
1,Adam Mitchell,Previously Active Listeners
1,Gunna,Previously Active Listeners
1,Ari Groover,Previously Active Listeners
1,Eileen Rodgers,Light listeners
1,Adele,Previously Active Listeners
1,Anything Goes Ensemble (1987),Previously Active Listeners
1,Sneha,Previously Active Listeners
1,Drew Gehling,Previously Active Listeners
1,Anita O'Day,Previously Active Listeners
1,Malcolm Addey,Previously Active Listeners
1,Michael Park,Light listeners
1,Frank Loesser,Previously Active Listeners
1,Ēriks Ešenvalds,Moderate listeners
1,Jewelle Blackman,Moderate listeners
1,SPINALL,Previously Active Listeners
1,Annaleigh Ashford,Light listeners
1,Nancy Lemenager,Previously Active Listeners
1,Twista,Previously Active Listeners
1,Brandy,Previously Active Listeners
1,Destiny's Child,Previously Active Listeners
1,Nikki Snelson,Previously Active Listeners
1,David Firth,Previously Active Listeners
1,Drew Gehling,Light listeners
1,Julie Andrews,Previously Active Listeners
1,João Gilberto,Previously Active Listeners
1,Paul Simon,Light listeners
1,"The Choir of Trinity College, Melbourne",Light listeners
1,Tekno,Previously Active Listeners
1,Christopher Sieber,Previously Active Listeners
1,Joey Contreras,Previously Active Listeners
1,070 Shake,Previously Active Listeners
1,Krysta Rodriguez,Previously Active Listeners
1,Steve Balsamo,Previously Active Listeners
1,Laura Osnes,Previously Active Listeners
1,‘Jesus Christ Superstar’ 1996 London Cast,Previously Active Listeners
1,Leslie Kritzer,Light listeners
1,Dionne Warwick,Previously Active Listeners
1,Julia Lester,Previously Active Listeners
1,Joyce Chittick,Previously Active Listeners
1,Emma Thompson,Previously Active Listeners
1,Steve Barton,Previously Active Listeners
1,Mason Trueblood,Light listeners
1,Off-Broadway Cast of Anything Goes (1962),Light listeners
1,Original Broadway Cast of Hairspray,Light listeners
1,Daniel J. Edwards,Previously Active Listeners
1,Tiera Kennedy,Light listeners
1,Amy Winehouse,Previously Active Listeners
1,Reyna Roberts,Light listeners
1,Leah Greenhaus,Light listeners
1,New Broadway Cast of Guys and Dolls (1992),Previously Active Listeners
1,Tony Jay,Previously Active Listeners
1,Guys and Dolls Orchestra (1992),Previously Active Listeners
1,Melanie Moore,Light listeners
1,Liana Flores,Previously Active Listeners
1,Greta Martin,Previously Active Listeners
1,Adam Riegler,Previously Active Listeners
1,Ewan McGregor,Previously Active Listeners
1,Julie Fowlis,Previously Active Listeners
1,Lizzy McAlpine,Moderate listeners
1,Rumi Carter,Previously Active Listeners
1,Lillias White,Previously Active Listeners
1,Shaboozey,Previously Active Listeners
1,Amos Oliver III,Light listeners
1,Sharmistha Chatterjee,Light listeners
1,Harriet Harris,Previously Active Listeners
1,Raven-Symoné,Light listeners
1,Michael-Leon Wooley,Previously Active Listeners
1,Ellie Goulding,Previously Active Listeners
