artist.id,artist.name,artist.genre
5vIVPqlLNO8s55XXbpYbMg,KO WIN,lo-fi
5oYQJceaUGHcz6d7TGry4q,luv pug,lo-fi
5oYQJceaUGHcz6d7TGry4q,luv pug,lo-fi beats
04VwrPirvx6CXRzbEjofQP,Refeeld,lo-fi hip hop
04VwrPirvx6CXRzbEjofQP,Refeeld,lo-fi
04VwrPirvx6CXRzbEjofQP,Refeeld,lo-fi beats
7rS6EV9KaFOxLB72NUHNwQ,b e r t h,lo-fi
7ar7lfJxKo3iW5YNXzrLJz,Manamera,lo-fi beats
7ar7lfJxKo3iW5YNXzrLJz,Manamera,lo-fi
0lJBgFBswR7nf4TrKtwZQt,Lvnt,jazz beats
0lJBgFBswR7nf4TrKtwZQt,Lvnt,lo-fi
5cbjnkdsTmPqxejdiFdK6b,Stuffed Tomato,lo-fi
5cbjnkdsTmPqxejdiFdK6b,Stuffed Tomato,jazz beats
5cbjnkdsTmPqxejdiFdK6b,Stuffed Tomato,lo-fi beats
5cbjnkdsTmPqxejdiFdK6b,Stuffed Tomato,lo-fi hip hop
3LoO7TNHi4wqe78tsBMMv5,Brxvs,lo-fi
3LoO7TNHi4wqe78tsBMMv5,Brxvs,lo-fi beats
49SU4KDi7vYuSfqsylFe6g,BLVKSHP,lo-fi beats
0tFVT92PBHTTLoKmS8WbFP,Bassti,lo-fi
0tFVT92PBHTTLoKmS8WbFP,Bassti,lo-fi beats
0tFVT92PBHTTLoKmS8WbFP,Bassti,lo-fi hip hop
2ZDVnuPd31hILsEUXMKcC1,Jason Masoud,jazz beats
2ZDVnuPd31hILsEUXMKcC1,Jason Masoud,lo-fi
1mqXnFbfmhv905gJS1o8mw,LightLeaf,jazz beats
6i2uc5LaqqgBJ6SozGzryq,Rustique Beats,lo-fi beats
6i2uc5LaqqgBJ6SozGzryq,Rustique Beats,lo-fi
0hkDfeLoJhHcFI8LDfFzg2,minty,jazz rap
0hkDfeLoJhHcFI8LDfFzg2,minty,lo-fi hip hop
43d1D4ncfmUYZCkZsxvfEy,Olivier Abeille,lo-fi
1D7pmmDhzgJqD7OtrpiVnh,Cygnet,lo-fi
1D7pmmDhzgJqD7OtrpiVnh,Cygnet,jazz beats
2BMmryAcDdRy8GQq89hrqF,Bits & Hits,lo-fi
2BMmryAcDdRy8GQq89hrqF,Bits & Hits,lo-fi beats
0suxEENL0L6anpzBRc8IeB,Kuma,lo-fi
0suxEENL0L6anpzBRc8IeB,Kuma,lo-fi beats
