artist.genres,artist.id,artist.name,artist.popularity,artist.followers
"['reggaeton', 'urbano latino', 'trap latino', 'argentine trap']",1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,78,3684006
[],53k2km8u55n9YaJJB7scjX,carwash,46,101667
[],64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,59,240540
[],3rWZHrfrsPBxVy692yAIxF,WILLOW,72,3092727
[],1xoxekeb8jUVHKJB7m6bfg,Tyler Cole,59,77453
"['colombian pop', 'pop urbano']",28gNT5KBp7IjEOQoevXf9N,Camilo,79,20608668
[],7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,83,46245449
['indonesian r&b'],2kxP07DLgs4xlWz8YHlvfh,NIKI,79,9781587
[],6d4jrmreCmsenscuieJERc,The Band CAMINO,60,436782
[],2Vvj76fff5uAw10W1sW54W,The Wldlfe,42,104111
"['melodic bass', 'future bass', 'edm', 'chillstep']",7lZauDnRoAC3kmaYae2opv,Dabin,59,206146
['melodic bass'],1LCPvGsQVJUQE8oyIRihHh,Cappa,36,12280
[],6bmlMHgSheBauioMgKv2tn,Powfu,69,1512114
[],1peH5tSqnYm8W6Bo3I5egE,Kat Dahlia,51,331107
[],1KP6TWI40m7p3QBTU6u2xo,BØRNS,67,1399853
[],0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,52,247524
[],5pKCCKE2ajJHZ9KAiaK11H,Rihanna,93,71391777
"['soft pop', 'pop']",6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,82,25851075
['k-pop'],6HaGTQPmzraVmaVxvz6EUc,Jung Kook,81,19275235
['k-pop'],3Nrfpe0tUJi4K4DXYWgMUX,BTS,90,82489930
[],5m9PQtVJ9ZZVWgb3t2nTMN,ur pretty,38,76732
['bedroom pop'],1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,75,887558
[],5MLIxVYkY4Fc2dwdaYSS8G,Suriel Hess,48,199201
[],0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,71,5345556
[],1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,72,10258302
[],4vxaQs6vK54nK89J1VtLex,PUBLIC,55,242690
[],4AK6F7OLvEQ5QYCBNiQWHq,One Direction,85,40706379
['spoken word'],7q7IUe2AqtifSZ2q52kHFc,Forest Blakk,66,281716
['bedroom pop'],4aEuFytRb43SAgjchJDk5e,quinnie,48,168568
['anime'],4TkCMPznXOjlsYLfzIU1rw,Geek Music,62,333778
[],3i8iJVU0mtgzbZsuF1AoJ3,sad alex,40,68877
['pop singer-songwriter'],0EiNdCUwM4B5GkTInLAyuj,Caleb Hearn,59,303317
[],2HPqVfdPh9JkBSlFG5hK6h,anees,56,651562
['k-pop'],13yWtUnz63q5VIs5SwoMhy,HUH YUNJIN,56,838282
"['k-rock', 'k-pop']",5na1LmEmK2VzNLje9snJYW,The Rose,61,2842868
[],5BxcZnUcETSt90VlbsdugI,Zachary Knowles,40,75113
[],3i94wxAKQqlJyiPLDmjNdH,St. Lundi,54,52345
[],53fzjsJnjEKkA6TdncuIM4,Jutes,62,338135
"['christian folk', 'folk pop']",7osFcSwjlRPwxZdVALIOuC,Henrik,60,198873
[],1XlLhtgJjC4ROQZilBZAvw,Nic D,67,514529
