personID,"artists_name","artists_id"
8,"Foo Fighters","7jy3rLJdDQY21OgRLCZ9sD"
8,"Hail The Sun","0XblvrTo6mnHOxWIP1t5T6"
8,"Hans Zimmer","0YC192cP3KPCRWx8zr8MfZ"
8,"Hoodie Allen","382aq8Pij5V2nE2JMHMoxl"
8,"How to Disappear Completely","58PAYlZ9swIJ50dcMNSMaT"
8,"Ice Nine Kills","52qKfVcIV4GS8A8Vay2xtt"
8,"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q"
8,"In Hearts Wake","30BDCIM0IdglDaLzvCYd0N"
8,"Jake Clarke","7us4OI1KbjrxqnfkStlJec"
8,"Jinsang","5FsfZj0Mp6YwEWytuJUcWt"
8,"Kingdom Of Giants","77rcxvpDqP78d90dL3DNNe"
8,"L'Indécis","5p1ichthTka1KT0iUvrlIu"
8,"Led Zeppelin","36QJpDe2go2KgaRleHCDTp"
8,"Lera Lynn","2iul6etLF5hjjpxo43rzz7"
8,"Linkin Park","6XyY86QOPPrYVGvF9ch6wz"
8,"Logic","4xRYI6VqpkE3UwrDrAZL8L"
8,"Lorde","163tK9Wjr9P9DmM0AVK7lm"
8,"M83","63MQldklfxkjYDoUE4Tppz"
8,"Margaritas Podridas","5O9NicFLG2F9Xr7OHxmrb7"
8,"Matthew Ryan","5Vdis2P8uqSm5GW1uFZLFR"
8,"Memphis May Fire","7cNNNhdJDrt3vgQjwSavNf"
8,"Metallica","2ye2Wgw4gimLv2eAKyk1NB"
8,"Modern Color","6bayHl2VHbIseMg1jby37l"
8,"Of Mice & Men","4tususHNaR68xdgLstlGBA"
8,"Out Came the Wolves","2fLI2Fb404cPXBKcoEAZIC"
8,"Pearl Jam","1w5Kfo2jwwIPruYS2UWh56"
8,"Phoebe Alice","73L52wRHj0By9fa9bbtc5F"
8,"Pink Floyd","0k17h0D3J5VfsdmQ1iZtE9"
8,"Plan Three","3nsv5EHlrDfwOhsf2pErtS"
8,"Real Friends","6dEtLwgmSI0hmfwTSjy8cw"
8,"S.Maharba","52RUBnagkvIajEJFXM5AXN"
8,"Sadfields","21EFkTCquqEqYOWXi19fDF"
8,"Single Mothers","2FW1jqwbJgwWT8hTWHgBrq"
8,"The Fray","0zOcE3mg9nS6l3yxt1Y0bK"
8,"The Jokes","1IVtEk1unpWvTPgPHxBQd0"
8,"The Killers","0C0XlULifJtAgn6ZNCW2eu"
8,"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh"
8,"Three Days Grace","2xiIXseIJcq3nG7C8fHeBj"
8,"Title Fight","2CnhqfjUG0qzsru0SMuhrk"
8,"Tom Day","74yueOpxONIcPCjGyF84jG"
8,"Uppermost","58UpHBCQ1Jj67DJsR7Qyqg"
8,"Vacive","4UvDuSwp9g3qS6lHdJXLoV"
8,"Varsity","339XMxg3AyRbEfeIAlxB2c"
8,"Zella Day","100sLnojEpcadRx4edEBA6"
8,"undertow","4EX7uv9u6hlq9JR8QX2hKO"
11,"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH"
11,"Childish Gambino","73sIBHcqh3Z3NyqHKZ7FOL"
11,"Eloise","7LlIWfvgWlDBXfxCvCFbuC"
11,"Hyko","5R0G4BBwfV087Ep61SzDwC"
11,"Laufey","7gW0r5CkdEUMm42w9XpyZO"
11,"Lorde","163tK9Wjr9P9DmM0AVK7lm"
11,"Noah Kahan","2RQXRUsr4IW1f3mKyKsy4B"
11,"Nujabes","3Rq3YOF9YG9YfCWD4D56RZ"
11,"The Dø","2mcNCn1qbZUQ3J9KHapUxj"
11,"The Marías","2sSGPbdZJkaSE2AbcGOACx"
11,"Wasia Project","7poQNrOwZoUcoqihg4Xex0"
15,"+44","7gkRNHOOt7QfhhXf0rEnmj"
15,"Angels & Airwaves","7xklw3WodFZiNNmQt3DIgp"
15,"Archimedes","6M6VX7AQkfXXU86kECQERk"
15,"Ari Klau","3mr8WTozPpn1JliLOnzejE"
15,"Blues Traveler","3pHeBYl1yujXcZqqfF1UyQ"
15,"Bowling For Soup","5ND0mGcL9SKSjWIjPd0xIb"
15,"Box Car Racer","0DK7FqcaL3ks9TfFn9y1sD"
15,"Callaway Martin","32Om1pF9kloxRMFv1gUifZ"
15,"Chance the Rapper","1anyVhU62p31KFi8MEzkbf"
15,"Cold War Kids","6VDdCwrBM4qQaGxoAyxyJC"
15,"Cypress Hill","4P0dddbxPil35MNN9G2MEX"
15,"Dan Deacon","5Z3IWpvwOvoaWodujHw7xh"
15,"Death Cab for Cutie","0YrtvWJMgSdVrk3SfNjTbx"
15,"Doechii","4E2rKHVDssGJm2SCDOMMJB"
15,"Esmé Patterson","1PoFNQQDFXvOYm6Dx8coAa"
15,"Everlast","14ZxDAK6ITtZZqPdiWrvSn"
15,"Frequent","71Q5SkUpc26h0swrRjrGEc"
15,"GRiZMATiK","7fVA4YnUI0DgAkfNvuDtav"
15,"Gary Clark Jr.","01aC2ikO4Xgb2LUpf9JfKp"
15,"Glue Trip","6b13SQkJSBYJxUoG8TaDcY"
15,"Goldfinger","7sVQKNtdP2NylxMgbNOJMM"
15,"Green Day","7oPftvlwr6VrsViSDV7fJY"
15,"Greta Van Fleet","4NpFxQe2UvRCAjto3JqlSl"
15,"Hans Zimmer","0YC192cP3KPCRWx8zr8MfZ"
15,"Hayley Williams","6Rx1JKzBrSzoKQtmbVmBnM"
15,"JID","6U3ybJ9UHNKEdsH7ktGBZ7"
15,"Ja Rule","1J2VVASYAamtQ3Bt8wGgA6"
15,"Jack Johnson","3GBPw9NK25X1Wt2OUvOwY3"
15,"Joey Bada$$","2P5sC9cVZDToPxyomzF1UH"
