personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"Elastic","Brandon","Elastic","4foDf6ingT1Z0FPlaBsPA4"
1,"Petals on the Moon","Wasia Project","Petals on the Moon","3BmaFHt6q91CmMrA7fLLRC"
1,"Promise","Laufey","Promise","4LHq10VKu3fSIg8EeVRi09"
1,"Born This Way","Lady Gaga","Americano","4LrHrb9fZ39fQsMyUdrQXO"
1,"Plain Jane REMIX (feat. Nicki Minaj)","A$AP Ferg","Plain Jane REMIX (feat. Nicki Minaj)","2YzmfPLqUx5CJOaw5ThsBV"
1,"BEAUTIFUL CHAOS","KATSEYE","Gameboy","2f1WulnyiYYnseSQWI8Oi9"
1,"Lover Girl","Laufey","Lover Girl","6dWilYAxP2aJbTTt0UsatK"
1,"HOMECOMING: THE LIVE ALBUM","Beyoncé","Lose My Breath (feat. Kelly Rowland & Michelle Williams) - Homecoming Live","716IzgeD9yjfCiZuG9aG4i"
1,"HOMECOMING: THE LIVE ALBUM","Beyoncé","Deja Vu (feat. JAY-Z) - Homecoming Live","7Id9WVdUZXIK1jchXxvRH3"
1,"Alligator Bites Never Heal","Doechii","WAIT","3bnEbEdttscDToE3I8yOZD"
1,"Ungodly Hour (Chrome Edition)","Chloe x Halle","Hazy","5JJORhW9qSHTBdtXcQREEa"
1,"Goddess","Laufey","Goddess","4R3AU2pjv8ge2siX1fVbZs"
1,"Debut","KATSEYE","Debut","58AZXyKRlsMBMcrRjpJpVG"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","Super Graphic Ultra Modern Girl","1rNSCrsOoWyhKH4g47mehU"
1,"The Miseducation of Lauryn Hill","Ms. Lauryn Hill","Doo Wop (That Thing)","0uEp9E98JB5awlA084uaIg"
1,"Bellarmonía National ACDA 2025","Paul Simon","Bridge Over Troubled Water - Live","7dPPUrBLYH3lsHvC9nSyJm"
1,"Stick Season","Noah Kahan","You’re Gonna Go Far","4nHJcUtNSUVjXRnjdP29Bk"
1,"TYLA +","Tyla","PUSH 2 START","1Cbl3Yq8rHo7hhDQmLQagU"
1,"Love to Keep Me Warm","Laufey","Love to Keep Me Warm","2x6Hg0OmYnkvCtFmAcyzwX"
1,"The Gods We Can Touch","AURORA","Cure For Me","33WTgxRdPBQQpVCMXpNxhO"
1,"Don't You Worry 'Bout A Thing","Tori Kelly","Don't You Worry 'Bout A Thing","3PLyl3Ir75VkGgX0KEehqh"
1,"evermore","Taylor Swift","evermore (feat. Bon Iver)","3O5osWf1rSoKMwe6E9ZaXP"
1,"Tiny Things","Thịnh Suy","tiny love","4AgFXIVT7hVhBZ5DEOaLu3"
